map4_r2_bit_827,MACCS_88,nS,BCUTv-1h,BCUTi-1l,BIC0,MIC0,AMID_C,BCUTp-1h,AMID_h,SIC0,AATSC0p,TopoPSA,CIC0,SM1_DzZ,SM1_Dzm,map4_r2_bit_719,BCUTZ-1h,IC0,AATSC0i,AATS1Z,MACCS_127,MACCS_143,BCUTm-1h,VSA_EState7,nC,ATS4i,MID_C,piPC6,AATS1m,ATS4se,ATS4are,ATS4pe,ATS3d,ATS3v,ATS3s,AATS0p,SlogP_VSA5,ATS3i,ATS4s,ATS3pe,ATS3are,ATS3se,MZ,ATS3p,SlogP_VSA11,AATS0Z,SpMAD_DzZ,SpMAD_Dzm,ATS5i
0,0,0,20.75864052325388,11.08284467171867,0.326075234527958,12.5022597312056,1.329362292940767,1.854675867860656,0.4806898892688255,0.326075234527958,0.201456999652007,37.3,2.75464243666532,0.5,0.4985311581973874,0,8.028625321754319,1.33282040458502,1.13821167382848,18.875,0,0,16.013897514807393,2.08148148148148,5,4618.21032569879,9.305536050585369,0.0,67.904702875,203.05558,156.63,157.2785,55,3674.57277925688,91.33333333333334,1.15747276755824,26.1862020684687,5912.51445338504,74.16666666666667,203.469,202.26,261.97472,0.549019607843137,30.517432317886,0.0,18.7058823529412,3.9561634478750727,3.956721703394056,3139.25517066019
0,0,0,20.87087464382593,10.981705048443194,0.227295466915224,9.437219129,1.798520695519555,1.9642620485359104,0.1467860647710154,0.231608451917234,0.230987476879316,17.07,3.7704132610324,0.25,0.2492655790986937,0,8.021948651165658,1.13647733457612,1.27067163091165,18.4,1,1,16.01004989740518,6.49164824263038,11,11145.749014394,21.58224834623466,3.09104245335832,66.56656347,501.340084,386.85,392.0935,153,10007.0087354203,152.58333333333331,1.3108045429094,52.3724041369373,11525.8196140223,149.00000000000003,409.307,403.13,521.372476,0.511111111,81.732090728678,0.0,15.9333333333333,5.757719358559008,5.757829227821188,11062.5015542728
0,0,0,20.730447695346875,11.107868435694373,0.389972873353915,12.0192776758211,1.3039975644174329,1.8312482579173024,0.4138325214724776,0.389972873353915,0.20485594724376,17.07,2.02646625064904,0.25,0.2492655790986937,0,8.021877171049962,1.29546184423832,1.15083690186276,17.3333333333333,0,0,16.01003780601512,1.51388888888889,3,1110.3057861612,5.215990257669732,0.0,61.4816398888889,48.568896,37.62,37.224,18,1174.37318425627,44.0,1.167758143,13.3445588226166,2615.54328885289,24.0,85.068,84.87,111.19446,0.533333333333333,10.419956450792,0.0,17.8,2.094831575244915,2.0951012760565773,0.0
1,0,0,20.77663348506795,11.069523491340089,0.260808991825997,11.2465398997991,1.6115012693386126,1.872181198755402,0.3408903376128416,0.263686867,0.218205375678222,26.3,3.50108611159188,0.5,0.4985311581973874,0,8.028764770822704,1.25380139057159,1.21715975331142,19.5555555555556,1,1,16.013983646317225,6.59377928949358,9,9303.46421497803,17.726513962724738,2.56494935746154,71.2710497407408,409.5203,314.73,317.7965,132,7896.728343,140.16666666666666,1.24075238805867,45.4486669372467,11491.3155285201,111.75,397.575,394.19,510.852588,0.530864197530864,65.54165147,0.0,17.3333333333333,5.717574215044132,5.718490023862049,8009.16008729178
0,0,0,20.75864052325388,11.08284467171867,0.326075234527958,12.5022597312056,1.329362292940767,1.854675867860656,0.4806898892688255,0.326075234527958,0.201456999652007,37.3,2.75464243666532,0.5,0.4985311581973874,0,8.028625321754319,1.33282040458502,1.13821167382848,18.875,0,0,16.013897514807393,2.08148148148148,5,4618.21032569879,9.305536050585369,0.0,67.904702875,203.05558,156.63,157.2785,55,3674.57277925688,91.33333333333334,1.15747276755824,26.1862020684687,5912.51445338504,74.16666666666667,203.469,202.26,261.97472,0.549019607843137,30.517432317886,0.0,18.7058823529412,3.9561634478750727,3.956721703394056,3139.25517066019
0,0,0,20.87087464382593,10.981705048443194,0.227295466915224,9.437219129,1.798520695519555,1.9642620485359104,0.1467860647710154,0.231608451917234,0.230987476879316,17.07,3.7704132610324,0.25,0.2492655790986937,0,8.021948651165658,1.13647733457612,1.27067163091165,18.4,1,1,16.01004989740518,6.49164824263038,11,11145.749014394,21.58224834623466,3.09104245335832,66.56656347,501.340084,386.85,392.0935,153,10007.0087354203,152.58333333333331,1.3108045429094,52.3724041369373,11525.8196140223,149.00000000000003,409.307,403.13,521.372476,0.511111111,81.732090728678,0.0,15.9333333333333,5.757719358559008,5.757829227821188,11062.5015542728
0,0,0,20.77587118420552,11.066593174966368,0.279574523722912,11.6151125187513,1.4317798382517326,1.8672881466306108,0.4013645895154301,0.279574523722912,0.207352328988609,26.3,3.25888927666129,0.5,0.4985311581973874,0,8.028767482342984,1.26467267939572,1.15991304065704,18.5454545454545,0,0,16.01398303815937,0.957916666666667,7,8125.36083519047,12.886018544265593,1.94591014905531,66.6959910909091,349.120604,266.67,268.715,81,5738.10953310475,113.66666666666669,1.17536037686461,27.1920332219979,7729.92362102109,99.05555555555554,279.988,277.68,356.091016,0.521739130434782,46.832209256188,0.0,17.1304347826087,4.778909737397336,4.780417698225296,6262.45363296808
0,0,0,20.774429983590004,11.066849640618043,0.299548102760774,10.7254733165672,1.4990057122017324,1.870035616904345,0.2803027538315932,0.299548102760774,0.211996654573984,17.07,2.8018075889569,0.25,0.2492655790986937,0,8.021879255,1.1981924110431,1.17634532843531,16.8,0,0,16.010038466697146,1.93402777777778,5,5199.33731736424,8.994034273210394,0.0,59.3527568666667,222.62454,170.01,170.472,50,3743.297233,79.5,1.18961456553062,20.2682960223073,5414.43223340354,83.0,185.957,183.78,239.123648,0.5,31.9433118,0.0,15.875,3.207068023505609,3.2072741916017407,2774.56465437944
0,0,0,20.77587118420552,11.066593174966368,0.279574523722912,11.6151125187513,1.4317798382517326,1.8672881466306108,0.4013645895154301,0.279574523722912,0.207352328988609,26.3,3.25888927666129,0.5,0.4985311581973874,0,8.028767482342984,1.26467267939572,1.15991304065704,18.5454545454545,0,0,16.01398303815937,0.957916666666667,7,8125.36083519047,12.886018544265593,1.94591014905531,66.6959910909091,349.120604,266.67,268.715,81,5738.10953310475,113.66666666666669,1.17536037686461,27.1920332219979,7729.92362102109,99.05555555555554,279.988,277.68,356.091016,0.521739130434782,46.832209256188,0.0,17.1304347826087,4.778909737397336,4.780417698225296,6262.45363296808
0,0,0,20.774429983590004,11.066849640618043,0.299548102760774,10.7254733165672,1.4990057122017324,1.870035616904345,0.2803027538315932,0.299548102760774,0.211996654573984,17.07,2.8018075889569,0.25,0.2492655790986937,0,8.021879255,1.1981924110431,1.17634532843531,16.8,0,0,16.010038466697146,1.93402777777778,5,5199.33731736424,8.994034273210394,0.0,59.3527568666667,222.62454,170.01,170.472,50,3743.297233,79.5,1.18961456553062,20.2682960223073,5414.43223340354,83.0,185.957,183.78,239.123648,0.5,31.9433118,0.0,15.875,3.207068023505609,3.2072741916017407,2774.56465437944
