map4_r2_bit_254,map4_r2_bit_555,map4_r2_bit_61,map4_r3_bit_224,map4_r2_bit_518,map4_r3_bit_555,map4_r2_bit_398,map4_r3_bit_254,map4_r2_bit_916,map4_r2_bit_530,map4_r3_bit_410,map4_r2_bit_766,MAXssS,MINssS,map4_r2_bit_256,map4_r2_bit_903,map4_r2_bit_654,map4_r2_bit_37,AETA_beta_ns_d,SssS,map4_r2_bit_434,map4_r2_bit_921,NssS,map4_r3_bit_190,map4_r2_bit_474,map4_r3_bit_708,MIC0,map4_r2_bit_509,map4_r3_bit_916,AATS1Z,map4_r2_bit_350,map4_r2_bit_86,AATS1m,nS,SMR_VSA5,SM1_Dzm,SM1_DzZ,map4_r3_bit_629,TopoPSA,ETA_beta_ns_d,map4_r3_bit_809,nN,map4_r3_bit_434,map4_r2_bit_578,MACCS_95,map4_r3_bit_509,map4_r2_bit_773,map4_r2_bit_732,map4_r3_bit_732,map4_r2_bit_907,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01477832512315271,0.0,0.01477832512315271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01477832512315271,0.0,0.0,8.778207752397769,0.0,0.0,19.87595430248404,0.0,0.0,73.02291779211822,0.0,64.51488653173872,0.24926557909869376,0.25,0.0,9.345862068965518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.699398174050206,13.429768902947458,-5.896831886665257,-1.2030765452651888,-7.609250841676143,1.7574142691791175,-1.5798346993453567,-1.262357810008667,-1.084577921822911,1.0030764548123927,-0.0214891313346241,1.9296746206639603,0.3181893172814004,-1.0514079837722987,0.3525346440786421,0.32000322729838854,-0.062112803835535,-0.4239466149753279,0.30691044107624343,0.14645604865086384,0.22514817438477253,-0.2611041389940738,-0.2366070025723131,0.0488484091572314,-0.046603536895778314,-0.15746291728162995,0.3368673683507497,0.0753225093978075,0.026741544355506842
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.747728350389753,0.0,0.0,18.48080768668004,0.0,0.0,66.62843399956105,0.0,57.728590649100276,0.39282284075530216,0.393917963224894,0.0,23.093663366336635,0.0,0.0,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14919966951998204,11.199571153669982,-0.589274620546393,-1.280845833102026,-2.1851398212518367,7.172077712431151,2.8791431107418584,3.0194876033165237,-0.7178709327494429,1.0229805976936461,1.9424175799974304,-5.503655499176899,-0.3004071116901908,3.009487887286468,-3.200487784194699,-2.8788368865913614,-1.690593169175887,1.6367911481309223,-1.1078716539590219,2.993537798399686,0.19926611719193318,2.1704724567580658,0.9636164522471636,1.4076193507236914,1.7706515141679413,1.9064673724609942,1.6915797361192209,2.8243508741455567,0.38373937932414587
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07326007333333334,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,11.257734949890914,0.0,0.0,21.964021164021144,0.0,0.0,81.71634916296289,0.0,7.080225165753691,0.48666136871649723,0.4880952380952381,0.0,18.393809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.505089654555594,-5.140377817927135,5.033717432131746,-1.304353722096511,-0.34859545859349006,2.3181360797879473,5.231276151301629,-2.2180962550865932,6.140703459995477,0.2521942051195329,1.8510063420629632,2.618026828435498,2.76353662351053,-2.143896041041902,-3.450820428544407,1.5718845774160082,3.1628485240583686,-2.4765585290015495,0.2181417817313359,-0.3542504642017927,-0.6042441902566561,3.957688098409061,-0.932551715083343,-0.7276615746314593,3.325891737774863,-0.12765303741004733,0.5483595467835367,-0.4688295847023642,0.5990778927843862
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,9.978007714171412,0.0,0.0,17.723437499999996,0.0,0.0,63.52688276953125,0.0,37.02133855715632,0.2581718402538304,0.2589285714285714,0.0625,17.875625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,-5.249765456335843,-3.252869857039514,-0.8519511637388423,3.176023866421328,-1.5819345566126977,-6.160912108553941,-5.873505102005505,4.3004401334771565,1.586788371208591,-4.4468639179548735,0.07779723584459679,2.2389452094354962,1.1208895746386491,-0.9038876261963172,-1.2724606804945005,-2.3874163447098318,-0.9811237396591211,-1.5855016303442244,-0.7142525715458354,-0.09154374365237185,0.827811879105373,1.4969525229586145,1.4903588122138212,0.8410159128796623,1.1161084333051798,1.0647384885628854,0.2943620122091653,-0.5625690613281404,0.5890139617852711
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018033818033818035,0.0018033818033818035,0.0,0.0,0.0,0.0,0.0,0.003606763606393607,0.0,0.0,0.0019980019980019984,0.0,0.0,0.0,8.773868442137726,0.0,0.0,19.933313244952817,0.0,0.0,73.2678298797673,0.0019980019980019984,64.8323597902098,0.25026603047308654,0.250999000999001,0.0,9.271328671328671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.700326498819366,13.66197638343259,-5.9765588057649675,-1.2657237414595355,-7.685694434130397,1.8775762167253403,-1.5132564655628353,-1.349551809548743,-1.1245062530847272,1.0881700718144605,-0.024265261218007348,1.9217840594003504,0.302664312306218,-1.050825833580553,0.3764703930560972,0.3620635767065186,-0.049241599232162085,-0.40496163365892274,0.3243467537413391,0.15015558087906258,0.2163367053295182,-0.28939914686804574,-0.26516084930448963,0.034969332505871975,-0.06485223172708855,-0.17678987965579554,0.34013670013543146,0.08552494205605389,0.017541751640544005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,9.500892549823268,0.0,0.0,17.22285714285713,0.0,0.0,61.21760705962739,0.0,39.18963691570062,0.2492655790986937,0.25,0.0,19.817826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857181934474293,8.314648494296653,1.793033356762155,1.9375294756873545,0.7837230770260568,-2.885645861908482,-1.8891428812666484,-5.585115373991419,4.4403444161712775,-1.7115426283386026,-0.21350610710977905,1.820995802346785,-5.70667845325903,3.106853251622445,-3.358841776736601,-1.4314282554564497,-1.5945205280886987,0.23147995057258922,-1.6725463275125516,-3.4249868532204144,-1.0693213506951944,-1.219477006766206,0.3789210918981387,-0.18030178871696617,1.411359718475014,-1.8580136915446648,0.4172217513322145,-0.12895635732559507,1.171981421127814
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.767350091123742,0.0,0.0,19.913266065241775,0.0,0.0,73.18636419252178,0.0,64.85939399433407,0.2495145956612299,0.25024975024975027,0.0,9.23922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.696392183634969,13.676522455248303,-5.966942507900738,-1.2612826494778833,-7.684057111088118,1.885778447245881,-1.5041343322263756,-1.3467883270109813,-1.1245107862755648,1.0829326820604719,-0.022205618301537645,1.9195640081896614,0.3038997654784504,-1.0513818986676606,0.37829438168022983,0.3611389667494105,-0.05178952054024663,-0.4068985289956128,0.32789601106562705,0.15091092557886807,0.21577730960793148,-0.2879121671151753,-0.26532182443819385,0.03667366500919988,-0.06483253847441131,-0.17784075639365238,0.33864215872526254,0.08401702290718842,0.015437232062128584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.767350091123742,0.0,0.0,19.913266065241775,0.0,0.0,73.18636419252178,0.0,64.85939399433407,0.2495145956612299,0.25024975024975027,0.0,9.23922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.696392183634969,13.676522455248305,-5.966942507900741,-1.2612826494778382,-7.684057111088122,1.8857784472458887,-1.5041343322263785,-1.3467883270109715,-1.1245107862755608,1.0829326820604757,-0.022205618301538565,1.919564008189658,0.30389976547845177,-1.0513818986676677,0.378294381680232,0.36113896674941215,-0.05178952054024381,-0.40689852899562007,0.3278960110656298,0.15091092557885905,0.21577730960793315,-0.28791216711518103,-0.2653218244381891,0.03667366500920039,-0.06483253847440933,-0.17784075639365238,0.338642158725262,0.08401702290718534,0.01543723206213076
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347476397966594,0.0347476397966594,0.0,0.0,0.0,0.0,0.0,0.06949527959331883,0.9803921568627451,0.9803921568627451,0.0392156862745098,0.0,0.0,0.0,11.159497927804631,0.0196078431372549,0.0,19.59843137254902,0.0,0.0,71.40524605803922,0.0392156862745098,57.06232264144104,0.5230550288810321,0.5245098039215687,1.0,27.291764705882354,0.0,0.9803921568627451,0.0,0.9803921568627451,0.9803921568627451,0.0,0.0196078431372549,0.0,0.0,0.0,0.9803921568627451,13.668016315390561,-5.7345318990204275,0.5714784694804496,-5.173971300055077,-2.0315414490658346,0.34158531408644305,-1.0342049668969029,-1.1487912719724855,-1.2466634540363233,-1.2669244576751935,-2.0150689439211242,-0.5065793536612374,-0.6040722514891861,-1.593587921538095,-1.0764021591870188,-0.6804838583462786,0.09476023220030498,-0.6644243471628801,0.05810786917994654,0.6279544552266219,0.8116647582071328,-0.13474015887338864,0.6348128614404601,-0.507908457565133,0.18073459121176616,-0.4930907091527471,-0.5323150114698167,-0.4200245214886716,-0.9686126398134135
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0009000900099009902,0.0,0.9900990099009901,0.9900990099009901,0.0,0.0,0.0,0.0,10.966380994750953,0.009900990099009901,0.0,19.227722772277225,0.0,0.0,69.87845557253551,0.0,57.531584691313036,0.49853115819738736,0.5,0.9900990099009901,26.33128712871287,0.009900990099009901,0.9900990099009901,0.0,0.9900990099009901,0.9900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.9900990099009901,13.860986474256519,-5.7140141997184175,0.6655531628558421,-5.1982509903136735,-2.0454476992735713,0.2298425602477306,-0.9384105956605044,-1.2276864862613832,-1.2071859483017529,-1.3188265067292302,-2.0498300696102865,-0.43006299663221387,-0.6135841874540393,-1.5786852741320572,-1.0523164043802087,-0.7572175864226595,0.13272074345194038,-0.700444968393435,0.04783993975846135,0.732894488386779,0.8246581136780812,-0.14944312248852612,0.5942753172720173,-0.5267224179508165,0.19327114426478514,-0.4973553608594334,-0.5360133889648665,-0.41056559629932554,-0.9794362103732573
