map4_r2_bit_254,map4_r2_bit_555,map4_r2_bit_61,map4_r3_bit_224,map4_r2_bit_518,map4_r3_bit_555,map4_r2_bit_398,map4_r3_bit_254,map4_r2_bit_916,map4_r2_bit_530,map4_r3_bit_410,map4_r2_bit_766,MAXssS,MINssS,map4_r2_bit_256,map4_r2_bit_903,map4_r2_bit_654,map4_r2_bit_37,AETA_beta_ns_d,SssS,map4_r2_bit_434,map4_r2_bit_921,NssS,map4_r3_bit_190,map4_r2_bit_474,map4_r3_bit_708,MIC0,map4_r2_bit_509,map4_r3_bit_916,AATS1Z,map4_r2_bit_350,map4_r2_bit_86,AATS1m,nS,SMR_VSA5,SM1_Dzm,SM1_DzZ,map4_r3_bit_629,TopoPSA,ETA_beta_ns_d,map4_r3_bit_809,nN,map4_r3_bit_434,map4_r2_bit_578,MACCS_95,map4_r3_bit_509,map4_r2_bit_773,map4_r2_bit_732,map4_r3_bit_732,map4_r2_bit_907
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01477832512315271,0.0,0.01477832512315271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01477832512315271,0.0,0.0,8.778207752397769,0.0,0.0,19.87595430248404,0.0,0.0,73.02291779211822,0.0,64.51488653173872,0.24926557909869376,0.25,0.0,9.345862068965518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.747728350389753,0.0,0.0,18.48080768668004,0.0,0.0,66.62843399956105,0.0,57.728590649100276,0.39282284075530216,0.393917963224894,0.0,23.093663366336635,0.0,0.0,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07326007333333334,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,11.257734949890914,0.0,0.0,21.964021164021144,0.0,0.0,81.71634916296289,0.0,7.080225165753691,0.48666136871649723,0.4880952380952381,0.0,18.393809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,9.978007714171412,0.0,0.0,17.723437499999996,0.0,0.0,63.52688276953125,0.0,37.02133855715632,0.2581718402538304,0.2589285714285714,0.0625,17.875625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018033818033818035,0.0018033818033818035,0.0,0.0,0.0,0.0,0.0,0.003606763606393607,0.0,0.0,0.0019980019980019984,0.0,0.0,0.0,8.773868442137726,0.0,0.0,19.933313244952817,0.0,0.0,73.2678298797673,0.0019980019980019984,64.8323597902098,0.25026603047308654,0.250999000999001,0.0,9.271328671328671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,9.500892549823268,0.0,0.0,17.22285714285713,0.0,0.0,61.21760705962739,0.0,39.18963691570062,0.2492655790986937,0.25,0.0,19.817826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.767350091123742,0.0,0.0,19.913266065241775,0.0,0.0,73.18636419252178,0.0,64.85939399433407,0.2495145956612299,0.25024975024975027,0.0,9.23922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.767350091123742,0.0,0.0,19.913266065241775,0.0,0.0,73.18636419252178,0.0,64.85939399433407,0.2495145956612299,0.25024975024975027,0.0,9.23922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347476397966594,0.0347476397966594,0.0,0.0,0.0,0.0,0.0,0.06949527959331883,0.9803921568627451,0.9803921568627451,0.0392156862745098,0.0,0.0,0.0,11.159497927804631,0.0196078431372549,0.0,19.59843137254902,0.0,0.0,71.40524605803922,0.0392156862745098,57.06232264144104,0.5230550288810321,0.5245098039215687,1.0,27.291764705882354,0.0,0.9803921568627451,0.0,0.9803921568627451,0.9803921568627451,0.0,0.0196078431372549,0.0,0.0,0.0,0.9803921568627451
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0009000900099009902,0.0,0.9900990099009901,0.9900990099009901,0.0,0.0,0.0,0.0,10.966380994750953,0.009900990099009901,0.0,19.227722772277225,0.0,0.0,69.87845557253551,0.0,57.531584691313036,0.49853115819738736,0.5,0.9900990099009901,26.33128712871287,0.009900990099009901,0.9900990099009901,0.0,0.9900990099009901,0.9900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.9900990099009901
